url,impressions,position,clicks,candidate_queries,match_score
/zh/blog/floor-mattress-feng-shui/,2742,7.7,1,,0
/zh/blog/living-room-window-film-feng-shui/,2253,5.5,0,客廳窗戶風水(4),37
/zh/blog/bed-facing-door-feng-shui/,1598,9.0,31,床對門(30) | 床頭對門(25) | 床尾對門化解(23) | 床尾對門(21) | 床對門 風水(12) | 房門對床尾(7) | 床腳對門(6) | 床對門化解(5),64
/zh/blog/bed-head-against-wall/,1570,9.6,32,床頭不靠牆(25) | 床頭一定要靠牆嗎(21) | 床頭不靠牆化解(21) | 床頭靠牆(16) | 床頭要靠牆嗎(7) | 床頭沒有靠牆(7) | 床頭靠門牆化解(7) | 冷氣在床頭上方(45),64
/zh/blog/desk-facing-door-layout/,1413,7.8,30,書桌背對門(75) | 書桌對門(20) | 書桌背對門化解(13) | 床對門(30) | 開門對衣櫃角(27) | 床頭對門(25) | 床尾對門化解(23) | 開門見書桌(21),66
/zh/desk-placement-feng-shui/,501,10.7,8,書桌擺放位置圖(3),37
/zh/blog/tiny-room-layout-under-5-ping/,416,13.3,2,5坪(101) | 五坪(18) | 5坪房間多大(14) | 5坪房間設計(10) | 5坪房間(7) | 五坪大小(6) | 5 坪 房間(6) | 5 坪(5),41
/zh/blog/wardrobe-facing-bed-feng-shui/,379,8.4,5,衣櫃對床風水(35) | 衣櫃對床尾(19) | 衣櫃對床(12) | 衣櫃可以對床嗎(10) | 床尾對衣櫃(5) | 床尾對衣櫃風水(4) | 床對衣櫃(3) | 鏡子對床側邊(49),65
/zh/blog/mirror-facing-bed-bedroom/,362,8.8,10,鏡子對床側邊(49) | 鏡子對床(8) | 鏡對床(4) | 衣櫃對床風水(35) | 床對門(30) | 床頭對門(25) | 床尾對門化解(23) | 床尾對門(21),65
/zh/blog/bedroom-wardrobe-door-opening-clearance-feng-shui/,344,8.7,4,房門打開看到衣櫃(28) | 開門對衣櫃角(27) | 房間開門見衣櫃(14) | 開門對衣櫃(13) | 開門見衣櫃側邊(11) | 衣櫃可以對門嗎(10) | 開門見衣櫃好嗎(8) | 開門見衣櫃(6),39
/zh/blog/bedroom-air-conditioner-ceiling-direction-feng-shui/,340,9.0,1,冷氣在床頭上方(45) | 客廳冷氣位置風水(20) | 冷氣在床側邊(19) | 冷氣室外機擺放位置風水(18) | 冷氣在頭上風水(17) | 床頭上方有冷氣(13) | 冷氣裝在床頭上(13) | 冷氣下可以放衣櫃嗎(6),40
/zh/blog/kitchen-fridge-feng-shui/,311,9.4,3,廚房冰箱風水(4),37
/zh/blog/desk-placement-wall-support-feng-shui/,294,6.1,12,餐桌靠牆風水(4) | 書桌擺放位置圖(3),37
/zh/blog/tv-facing-bed-feng-shui/,278,7.1,4,鏡子對床側邊(49) | 衣櫃對床風水(35) | 床對門(30) | 床頭對門(25) | 床尾對門化解(23) | 床尾對門(21) | 衣櫃對床尾(19) | 電視對床化解(14),40
/zh/blog/beam-over-desk-bed-layout/,269,9.6,5,書桌在樑下(11) | 樑下書桌(9) | 書桌壓樑(8) | 書桌在樑下但人不在樑下(7) | 書桌樑下化解(4) | 床旁邊可以放書桌嗎(3) | 樑下床(3) | 書桌擺放位置圖(3),38
/zh/blog/entryway-door-hinge-squeak-cleaning-feng-shui/,243,7.1,2,門口放傘風水(7) | 雨傘不能放門口(7) | 玄關門檻(6) | 床對門口(5),38
/zh/blog/entryway-umbrella-stand-feng-shui/,230,5.7,9,門口放傘風水(7) | 雨傘不能放門口(7),38
/zh/blog/bed-under-window-solutions/,223,13.2,2,床頭靠窗怎麼辦(42) | 床頭靠窗(37) | 床靠窗(15) | 床頭可以靠窗嗎(9) | 床头靠窗(9) | 床側邊靠窗化解(6) | 床頭靠窗如何化解(5) | 床頭靠窗設計(5),40
/zh/blog/entryway-doormat-feng-shui/,211,7.4,6,玄關地墊風水(45) | 玄關地墊方向(9),40
/zh/small-bedroom-layout/,187,9.3,10,,0
/zh/blog/living-room-wall-clock-feng-shui/,181,8.5,2,客廳掛鐘位置圖(58) | 客廳掛鐘位置圖2026(15) | 客廳掛鐘風水(6),40
/zh/blog/dining-table-facing-door-feng-shui/,176,6.9,5,書桌背對門(75) | 床對門(30) | 開門對衣櫃角(27) | 床頭對門(25) | 床尾對門化解(23) | 床尾對門(21) | 書桌對門(20) | 書桌背對門化解(13),41
/zh/blog/square-bedroom-layout/,173,7.0,9,正方形房間格局(3),37
/zh/feng-shui-bedroom-checker/,172,15.5,7,,0
