slug,impressions_90d,position,clicks_90d,target_queries,new_title,new_description
/zh/blog/bed-facing-door-feng-shui/,1598,9.0,31,床對門|床頭對門|床尾對門|床尾對門化解|床对着门化解|床头对门化解,床對門怎麼辦？床頭對門與床尾對門的 6 種化解＋尺寸,床頭對門和床尾對門要分開判斷。用實際門寬、視線與實牆位置決定化解方式，附每種做法需要的最小公分數，可直接用免費平面圖工具驗證。
/zh/blog/bed-head-against-wall/,1570,9.6,32,床頭不靠牆|床頭一定要靠牆嗎|床頭靠牆|床頭不靠牆化解,床頭一定要靠牆嗎？不靠牆的 4 種做法與最小留寬,床頭無法靠實牆時，床頭板、矮櫃、隔屏各需要多少深度。先量牆面與走道，再決定用哪一種，附可列印的尺寸對照。
/zh/blog/desk-facing-door-layout/,1413,7.9,30,書桌背對門|書桌對門|開門見書桌|開門見書桌化解,書桌背對門怎麼辦？開門見書桌的 5 種調整與走道尺寸,書桌對門與背對門的處理方式不同。用門片開啟方向、椅子後退空間與插座位置決定座向，每種做法都標出需要的公分數。
/zh/desk-placement-feng-shui/,501,10.7,8,書桌擺放|書桌方位|書桌風水,書桌擺放位置怎麼選？採光、插座、椅後空間一次檢查,先確認自然光方向、插座位置與椅子後退的 80 公分，再談座向。附小房間、雙人房與租屋的三種可行配置。
/zh/blog/tiny-room-layout-under-5-ping/,416,13.3,2,5坪|五坪|5坪房間多大,5 坪房間多大？扣掉樑柱門片後的 3 種實際配置,5 坪約 16.5 平方公尺，但可用淨尺寸通常少 1 坪以上。先算淨寬深，再分配床、桌與收納，附三張可直接套用的配置圖。
/zh/blog/wardrobe-facing-bed-feng-shui/,379,8.5,5,衣櫃對床風水|衣櫃對床尾|房門打開看到衣櫃|開門對衣櫃角,衣櫃對床怎麼處理？開門見衣櫃與櫃角對床的化解尺寸,衣櫃對床尾、開門見衣櫃、櫃角對床是三件不同的事。分開判斷並確認櫃門開啟需要的 60～90 公分。
/zh/blog/mirror-facing-bed-bedroom/,362,8.8,10,鏡子對床側邊|鏡子對床|鏡子對床化解,鏡子對床側邊算嗎？3 種位置判斷與可復原化解法,正對、側邊、櫃門內三種情況的判斷標準不同。租屋不能動格局時的可復原做法，附鏡面到床的建議距離。
/zh/blog/bedroom-air-conditioner-ceiling-direction-feng-shui/,340,9.0,1,冷氣在床頭上方|冷氣在頭上風水|冷氣在床側邊,冷氣裝在床頭上方怎麼辦？出風角度與床位移動距離,冷氣直吹床頭的實際問題是溫差與噪音。先量出風口到床頭的水平距離，再決定移床、加導風板或改變出風角度。
/zh/blog/beam-over-desk-bed-layout/,269,9.6,5,坐在樑下怎麼辦|橫樑壓床|橫樑壓桌,橫樑壓床壓桌怎麼辦？先量樑的投影線再決定移動方向,把樑的兩條投影線畫進平面圖，就知道床或桌要移幾公分才會完全避開。含租屋不能移床的替代做法。
/zh/blog/tv-facing-bed-feng-shui/,278,7.1,4,電視對床化解|電視對床,電視對床要化解嗎？視距、高度與關機反光的實測判斷,電視對床的實際困擾是反光與視距。用螢幕尺寸算出建議視距，再決定移位、換角度或加櫃門。
/zh/blog/bed-under-window-solutions/,223,13.3,2,床頭靠窗|床頭靠窗怎麼辦|床靠窗,床頭靠窗怎麼辦？窗台深度決定的 4 種處理順序,床頭靠窗要先量窗台深度與窗戶開啟方式。依可移動程度排序四種做法，租屋可用的不動工方案放在最前面。
/zh/blog/living-room-wall-clock-feng-shui/,181,8.5,2,客廳掛鐘位置圖|客廳掛鐘位置圖2026,客廳掛鐘位置怎麼掛？沙發、電視牆與玄關的高度對照,掛鐘高度以視線水平為準，不同牆面建議不同。附客廳三面牆的位置圖與常見錯誤。
